Country,2000_immigrants,2005_immigrants,2010_immigrants,2015_immigrants,2020_immigrants,2000_emigrants,2005_emigrants,2010_emigrants,2015_emigrants,2020_emigrants,2000_efScore,2005_efScore,2010_efScore,2015_efScore,2020_efScore,2000_netMigration,2005_netMigration,2010_netMigration,2015_netMigration,2020_netMigration
Japan,1.3224505,1.5675336,1.6602707,1.7441001,2.1909184,0.5559205,0.55987513,0.5887492,0.5972631,0.63950634,8.17,8.11,7.94,8.01,7.89,0.7665299999999999,1.00765847,1.0715215000000002,1.146837,1.55141206
Jordan,37.634884,38.135235,38.378258,34.17618,33.8885,7.189836,7.645085,8.291615,7.6277604,7.9868455,7.01,6.99,7.21,7.35,7.33,30.445048,30.49015,30.086643000000002,26.548419600000003,25.9016545
Kazakhstan,19.260519,20.145859,20.51982,20.180162,19.876078,23.819271,24.136185,23.366127,22.112303,22.388905,5.55,6.29,6.48,6.97,7.06,-4.558752000000002,-3.9903259999999996,-2.8463069999999995,-1.9321410000000014,-2.5128270000000015
Kenya,2.2144902,2.1115527,2.2719712,2.3536446,1.9529879,0.9930812,0.9884833,1.0531163,1.0038924,0.9956017,6.09,6.78,6.69,6.66,6.73,1.2214090000000002,1.1230693999999999,1.2188549,1.3497522,0.9573862000000001
Kuwait,55.138004,58.74074,62.663258,74.724815,72.82784,5.545632,5.682549,5.9432783,5.0848527,4.9705625,6.58,6.9,6.53,6.33,6.61,49.592372000000005,53.058191,56.719979699999996,69.63996230000001,67.8572775
Latvia,18.043243,16.728493,14.809225,13.2863455,12.693338,10.0094795,12.032969,13.128222,18.483387,20.146835,7.47,7.73,7.74,8.1,7.73,8.033763500000001,4.695524000000001,1.6810030000000005,-5.197041500000001,-7.453496999999999
Lebanon,18.031584,15.796569,16.014149,29.333424,25.093788,14.543947,12.957798,14.12669,11.5906925,12.553239,4.24,5.61,6.77,6.71,5.21,3.4876369999999994,2.8387709999999995,1.8874589999999998,17.7427315,12.540549
Lesotho,0.3033739,0.3151121,0.32141113,0.44448525,0.56295896,5.9309673,7.96903,12.183356,9.298493,9.436985,4.27,5.62,5.61,6.16,5.93,-5.6275934,-7.6539179,-11.86194487,-8.854007750000001,-8.87402604
Liberia,5.331607,2.7101898,2.5483398,2.506826,1.7388813,8.720963,11.024842,5.6314287,4.600413,4.6180096,4.51,5.33,5.58,6.13,5.7,-3.3893559999999994,-8.3146522,-3.0830889,-2.0935869999999994,-2.8791282999999996
Lithuania,6.119951,6.0165496,5.1466393,4.639391,5.333155,9.9537325,12.330713,16.574104,18.973951,24.17291,7.16,7.75,7.65,8.03,7.78,-3.833781499999999,-6.314163399999999,-11.427464699999998,-14.33456,-18.839755000000004
Luxembourg,32.04496,32.896942,32.12152,43.91565,47.615562,9.117508,11.533523,12.216818,12.239452,13.060724,8.23,7.88,7.84,8.12,7.8,22.927452000000002,21.363419,19.904701999999997,31.676198,34.554838
Madagascar,0.14930736,0.14210828,0.13665608,0.13235493,0.12842792,0.48893225,0.8115136,0.7603145,0.72570527,0.6988764,5.31,5.39,5.97,6.18,5.8,-0.33962489,-0.66940532,-0.6236584199999999,-0.59335034,-0.5704484799999999
Malawi,2.0865119,1.7555985,1.4974406,1.1784079,1.0003264,1.6704024,1.7584656,1.7918707,1.7764442,1.6259944,4.47,4.77,5.61,5.35,5.68,0.41610950000000013,-0.0028671000000000113,-0.29443010000000003,-0.5980363,-0.6256679999999999
Malaysia,6.3101754,7.4677234,8.569883,10.837715,10.741396,5.178589,5.368906,5.6688156,5.8836513,5.746886,6.59,6.43,6.51,7.34,7.52,1.1315864000000007,2.0988173999999997,2.9010674000000005,4.954063699999999,4.99451
Mali,1.7309268,2.0244203,2.2663965,2.4113166,2.3990567,7.060427,7.0084095,6.610464,7.0449,6.436826,5.63,5.45,5.74,5.75,5.8,-5.3295002,-4.9839892,-4.3440675,-4.6335834,-4.0377693
Malta,5.467053,6.069308,7.9680004,12.14183,25.99091,26.640232,24.77271,23.96918,21.578148,23.280617,7.03,7.92,7.95,7.99,7.73,-21.173179,-18.703402,-16.0011796,-9.436317999999998,2.710293
Mauritania,2.1810367,1.9248409,2.430313,4.1161513,3.9204156,4.091183,3.4093997,3.2680442,2.8329558,2.8007638,5.13,5.79,5.66,5.82,6.14,-1.9101463,-1.4845587999999998,-0.8377311999999999,1.2831955000000002,1.1196518000000002
Mauritius,1.3114829,1.607761,1.990139,2.269629,2.2718785,10.041202,10.69132,11.874326,13.169882,14.387305,7.41,7.53,8.0,8.03,7.77,-8.7297191,-9.083559,-9.884187,-10.900253,-12.1154265
Mexico,0.54403627,0.67227644,0.84992975,0.8318608,0.9288749,9.669255,10.204981,10.881672,9.784512,8.675636,6.65,6.95,6.95,7.11,7.06,-9.12521873,-9.53270456,-10.03174225,-8.9526512,-7.7467611000000005
Moldova,5.8969336,4.114206,3.1689954,2.6131592,2.5889678,14.342657,17.202335,20.249407,22.840244,28.742035,5.15,6.36,6.52,6.76,6.9,-8.445723400000002,-13.088129000000002,-17.0804116,-20.2270848,-26.153067200000002
Mongolia,0.34228504,0.45427755,0.590536,0.6632131,0.65110123,1.2783759,1.6764374,2.110554,2.183974,2.5042918,6.1,6.8,6.93,7.17,7.02,-0.93609086,-1.22215985,-1.520018,-1.5207609,-1.8531905699999998
